path,label
Cover_46030.jpg,0.0
Cover_52361.jpg,0.0
Cover_34919.jpg,0.0
Cover_45867.jpg,0.0
Cover_22510.jpg,0.0
Cover_38312.jpg,0.0
JUNIWARD_36706.jpg,1.0
Cover_19562.jpg,0.0
Cover_26473.jpg,0.0
JMiPOD_11218.jpg,1.0
JMiPOD_68124.jpg,1.0
Cover_29908.jpg,0.0
Cover_03704.jpg,0.0
JUNIWARD_12837.jpg,1.0
Cover_42783.jpg,0.0
UERD_21478.jpg,1.0
JUNIWARD_32286.jpg,1.0
Cover_56862.jpg,0.0
UERD_76967.jpg,1.0
UERD_68193.jpg,1.0
Cover_60891.jpg,0.0
UERD_30983.jpg,1.0
JUNIWARD_63207.jpg,1.0
JUNIWARD_42652.jpg,1.0
JMiPOD_19639.jpg,1.0
UERD_06441.jpg,1.0
UERD_11914.jpg,1.0
Cover_19711.jpg,0.0
Cover_68744.jpg,0.0
UERD_32786.jpg,1.0
JUNIWARD_69788.jpg,1.0
Cover_21191.jpg,0.0
UERD_74235.jpg,1.0
Cover_26122.jpg,0.0
Cover_11980.jpg,0.0
Cover_12786.jpg,0.0
Cover_14691.jpg,0.0
Cover_17590.jpg,0.0
UERD_53909.jpg,1.0
JMiPOD_35434.jpg,1.0
Cover_16848.jpg,0.0
Cover_33881.jpg,0.0
JUNIWARD_00293.jpg,1.0
Cover_74002.jpg,0.0
Cover_73837.jpg,0.0
JMiPOD_48774.jpg,1.0
Cover_66430.jpg,0.0
JUNIWARD_45407.jpg,1.0
JMiPOD_16427.jpg,1.0
UERD_61261.jpg,1.0
JMiPOD_01702.jpg,1.0
Cover_26949.jpg,0.0
UERD_70568.jpg,1.0
JUNIWARD_14472.jpg,1.0
Cover_10583.jpg,0.0
UERD_59046.jpg,1.0
Cover_32153.jpg,0.0
Cover_23177.jpg,0.0
Cover_04505.jpg,0.0
UERD_26929.jpg,1.0
Cover_10597.jpg,0.0
Cover_17499.jpg,0.0
Cover_39098.jpg,0.0
UERD_55662.jpg,1.0
Cover_63579.jpg,0.0
Cover_44328.jpg,0.0
JMiPOD_17020.jpg,1.0
JUNIWARD_25964.jpg,1.0
JMiPOD_32087.jpg,1.0
Cover_21885.jpg,0.0
Cover_24484.jpg,0.0
Cover_36380.jpg,0.0
Cover_54732.jpg,0.0
UERD_59185.jpg,1.0
Cover_20416.jpg,0.0
Cover_02795.jpg,0.0
JMiPOD_51665.jpg,1.0
Cover_20404.jpg,0.0
JUNIWARD_44608.jpg,1.0
JMiPOD_02342.jpg,1.0
UERD_65502.jpg,1.0
Cover_59867.jpg,0.0
Cover_69472.jpg,0.0
Cover_01355.jpg,0.0
JMiPOD_24197.jpg,1.0
